TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%)
1718904430 ,onlineapp121,102.01,100,98.2
1718904490 ,onlineapp122,97.19,99.98,98.3
1718904550 ,onlineapp123,101.66,100,98.2
1718904610 ,onlineapp124,97.31,100,98.4
1718904673 ,onlineapp125,95.66,100,97.8
1718904730 ,onlineapp126,94.93,99.51,98.6
1718904791 ,onlineapp127,96.62,100,98.5
1718904850 ,onlineapp128,101.71,99.99,98.3
1718904910 ,onlineapp129,106.31,99.98,98
1718904971 ,onlineapp130,101.82,100,97.7
1718905030 ,onlineapp131,98.9,99.42,98
1718905090 ,onlineapp132,101.19,99.85,98.4
1718905150 ,onlineapp133,97.3,100,98.3
1718905209 ,onlineapp134,95.87,99.4,97.3
1718905272 ,onlineapp135,99.64,100,98
1718905331 ,onlineapp136,96.53,100,98.3
1718905390 ,onlineapp137,94.65,100,97.6
1718905451 ,onlineapp138,94.24,99.75,97.9
1718905510 ,onlineapp139,98.4,99.89,96.9
1718905571 ,onlineapp140,102.14,99.93,97.5
1718905629 ,onlineapp141,105.91,99.78,97.6
1718905690 ,onlineapp142,98.76,100,97.4
1718905750 ,onlineapp143,96.75,100,97.5
1718905810 ,onlineapp144,98.95,96.11,97.8
1718905873 ,onlineapp145,96.27,100,97.7
1718905930 ,onlineapp146,98.25,99.49,97.9
1718905989 ,onlineapp147,96.16,100,97.8
1718906050 ,onlineapp148,97,100,97.8
1718906110 ,onlineapp149,96.52,100,97.8
1718906172 ,onlineapp150,98.2,98.55,98.2
1718906230 ,onlineapp151,97.71,100,98.3
1718906289 ,onlineapp152,97.59,99.83,96.7
1718906350 ,onlineapp153,100.23,100,97.8
1718906410 ,onlineapp154,102.98,100,98
1718906473 ,onlineapp155,105.23,100,98.1
1718906530 ,onlineapp156,108.06,100,97.7
1718906590 ,onlineapp157,100.07,99.46,97.9
1718906650 ,onlineapp158,100.4,99.98,97.8
1718906709 ,onlineapp159,100.31,98.72,97.1
1718906772 ,onlineapp160,101.48,99.85,98.1
1718906830 ,onlineapp161,98.86,98.82,98.1
1718906890 ,onlineapp162,99.36,100,98.1
1718906950 ,onlineapp163,98.1,100,97.6
1718907009 ,onlineapp164,100.49,98.82,98.1
1718907069 ,onlineapp165,51.29,1.48,1.4
1718907128 ,onlineapp166,19.25,0.46,0.7
1718907188 ,onlineapp167,7.2,0.61,0.8
1718907248 ,onlineapp168,3.27,0.58,0.8
1718907308 ,onlineapp169,1.45,0.45,0.8
1718907369 ,onlineapp170,0.96,1.18,1.4
1718907428 ,onlineapp171,0.63,0.34,0.7
1718907488 ,onlineapp172,0.6,0.34,1.3
1718907548 ,onlineapp173,0.44,0.3,0.7
1718907608 ,onlineapp174,0.33,0.38,0.7
,,,,
,,,,
